COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
GIKUI,2002,"247,171",1400,1628,13 - 24
KUIRI,2002,"157,129",1300,1432,13 - 26
RWARENE,2002,"119,960",1300,1421,13 - 26
KAGURU,2002,"374,947",1550,1500,14 - 24
KARIA,2002,"238,225",1200,1380,13 - 26
KATHANGENE,2002,"93,446",1300,1343,13 - 26
GITHUNE,2002,"40,721",1300,1457,13 - 25
KIERU,2002,"185,375",1300,1325,13 - 26
NTEMWENE,2002,"92,721",1300,1483,13 - 26
TAAI,2002,"45,721",1400,1564,13 - 25
KATHARE,2002,"105,556",1300,1343,13 - 26
MUTONGA,2002,"134,291",1400,1523,13 - 25
GACHIEGE,2002,"265,597",1300,1500,13 - 25
KIJIJONE,2002,"26,322",1400,1633,13 - 25
KINJO,2002,"364,848",1400,1661,13 - 25
RIJE,2002,"158,498",1400,1697,13 - 25
GITUGU,2002,"124,828",1300,1255,13 - 25
ITHIMA,2002,"166,836",1400,1255,13 - 25
KIAMIRIRU,2002,"101,030",1300,1580,13 - 25
NGONYI,2002,"141,319",1400,1837,13 - 25
NTHUNGU,2002,"39,243",1300,1708,13 - 26
KARINDINE,2002,"222,117",1300,1793,13 - 26
MAGANJO,2002,"217,410",1300,1440,13 - 25
MAURA,2002,"101,353",1400,1543,13 - 24
RWANKWARE,2002,"164,107",1300,1744,13 - 25
GATHIMA,2002,"175,890",1300,1565,13 - 25
GATUBU,2002,"192,862",1300,1590,13 - 25
GITURA,2002,"243,252",1300,1390,13 - 26
IYEGO MAIN,2002,"390,429",1300,1527,13 - 26
KABIRUINI,2002,"166,988",1300,1472,13 - 26
KIRANGANO,2002,"100,989",1300,1390,13 - 26
MARIMIRA,2002,"300,290",1000,1750,13 - 26
MUNUNGA,2002,"185,826",1300,1600,13 - 24
THANGATHI,2002,"108,789",1300,1390,13 - 26
WATUHA,2002,"176,113",1300,1527,13 - 26
GACIRAGO,2002,"371,673",1300,1472,13 - 26
GEITWA,2002,"157,122",1300,1390,13 - 26
ICHANJERU,2002,"44,406",1000,1750,13 - 26
MURIOWANDA,2002,"54,406",1300,1600,13 - 24
WATHENGE,2002,"284,754",1000,1750,13 - 24
GITARO,2002,"8,866",1100,1700,13 - 24
KAHURO,2002,"294,467",1000,1750,13 - 24
KIANJOGU,2002,"136,438",1000,1750,13 - 24
KIBOI,2002,"171,963",1100,1730,13 - 24
MBARI YA HITI,2002,"75,789",1000,1750,13 - 24
MITARAKWA,2002,"67,271",1100,1700,13 - 24
MURICHU,2002,"280,410",1000,1750,13 - 24
RWARO,2002,"45,879",1200,1530,13 - 24
YAMUGWE,2002,"273,568",1200,1570,13 - 24
GATHAMBA,2002,"68,194",1200,1480,13 - 24
GATHINJA,2002,"128,570",1200,1450,13 - 24
KAHUHIA,2002,"163,096",1200,1470,13 - 24
NGUTU,2002,"84,866",1100,1700,13 - 24
KEVOTE,2002,"584,275",1100,1650,13 - 24
KIANJUKI,2002,"569,861",1100,1630,13 - 24
NGAINDETHIA,2002,"478,606",1000,1750,13 - 24
KITHUNGURURU,2002,"775,589",1100,1630,13 - 24
KIVIUVI,2002,"57,266",1100,1700,13 - 24
KITHEGI,2002,"121,984",1000,1720,13 - 24
KITHIMU,2002,"275,691",1100,1700,13 - 25
MINAI,2002,"97,573",1100,1700,13 - 26
KITHANGARIRI,2002,"650,570",1100,1750,13 - 26
GITWARA,2002,"249,365",1100,1700,13 - 26
KIANYANGI,2002,"218,087",1100,1750,13 - 26
NGURWERI,2002,"268,751",1100,1650,13 - 26
GATUNDURI,2002,"64,599",1500,1590,12 - 27
KIHUMBU,2002,"50,383",1550,1610,12 - 27
MIRUNDI,2002,"35,334",1500,1550,12 - 27
THAMBO,2002,"20,647",1600,1600,12 - 27
KIRIMIRI,2002,"164,142",1600,1600,12 - 27
GACHAGORI,2002,"497,536",1400,1400,12 - 27
GACHUNGU,2002,"548,192",1400,1420,12 - 27
GAKWEGORI,2002,"526,704",1500,1430,12 - 27
KIAMICIRI,2003,"55,019",1200,1386,13 - 26
KIANGOTHE,2003,"23,804",1200,1531,13 - 26
KIMANDI,2003,"222,983",1400,1672,13 - 24
KIRINGA,2003,"257,159",1200,1558,13 - 26
KONYU,2003,"257,733",1200,1581,13 - 26
KANJUU,2003,"85,821",1200,1465,13 - 26
GITUTO,2003,"156,824",1500,1704,13 - 23
KIAMBUI,2003,"233,089",1200,1414,13 - 26
KIUNYU,2003,"465,877",1200,1414,13 - 26
NGUGUINI,2003,"511,130",1200,1383,13 - 26
CHEMA,2003,"216,811",1400,1684,13 - 24
KIAI,2003,,1400,1644,13 - 24
KIANGAI,2003,"421,549",1400,1644,13 - 24
KIANJEGE,2003,"344,232",1550,1446,13 - 26
KIBINGOTI,2003,"206,501",1200,1426,13 - 25
MUKANGU,2003,"511,362",1550,1650,13 - 26
RAGATI,2003,"482,801",1400,1704,13 - 24
THUNGURI,2003,"486,973",1400,1724,13 - 24
